Year,Month,Themes in the Picture,Climate Change Related? (Y/N),Binary,Relatad to Environment? (Y/N),Binary,Quantity (Parts Per Million),Percent
1987,12,"Human exploration, Archaeology",N,0,N,0,349.28,0.52
1986,1,Art,N,0,N,0,346.78,0.38
1986,2,"Human portrait, culture",N,0,N,0,347.48,0.31
1986,3,"Panda, animal",N,0,N,0,348.25,0.1
1986,4,"Cultural relics, history",N,0,N,0,349.86,0.34
1986,5,Animal,N,0,N,0,350.52,0.36
1986,6,Animal,N,0,N,0,349.98,0.38
1986,7,Statue,N,0,N,0,348.25,0.39
1986,8,"Human portrait, history",N,0,N,0,346.17,0.26
1986,9,"Human portrait, exploration",N,0,N,0,345.48,0.59
1986,10,"Technology, space exploration, history",N,0,N,0,344.82,0.43
1986,11,History,N,0,N,0,346.22,0.43
1986,12,"Human exploration, history",N,0,N,0,347.49,0.4
1985,1,"Animals, Endangered Species, Hot and Cold Climate",Y,1,Y,1,345.48,0.37
1985,2,"Egyption culture, Mummies",N,0,N,0,346.41,0.43
1985,3,"Hazardous Waste, Human",N,0,N,0,347.91,0.65
1985,4,"History, Culture, Music",N,0,N,0,348.66,0.37
1985,5,"War, Memorial, Soldiers, Country",N,0,N,0,349.28,0.43
1985,6,"War, Country, Refugee",N,0,N ,0,348.65,0.43
1985,7,"Ocean Exploration, Scuba Diving, Clean-up",N,0,Y,1,346.9,0.32
1985,8,"Aquestrian, Human-animal interaction",N,0,N,0,345.26,0.44
1985,9,"Farm, Animal, livestock",N,0,N,0,343.47,0.55
1985,10,"Country, Ethnicity, Incognito",N,0,N,0,343.35,0.44
1985,11,"Paleontology, Archaeology, Exploration",N,0,N,0,344.73,0.41
1985,12,"Ocean exploration, shipwreck",N,0,Y,1,346.12,0.32
1984,1,"Sea animals, Ocean, Endangered Species",N,0,Y,1,344.21,0.77
1984,2,"Animals, Human-animal interaction, Weather",Y,1,Y,1,344.92,0.62
1984,3,"Technology, Animal Murder, Animal Statue",N,0,N,0,345.68,0.67
1984,4,"Human-animal interaction, Tundra",N,0,N,0,347.38,0.58
1984,5,"Archaeology, Palentology, History",N,0,N,0,347.78,0.47
1984,6,"Country, Ethnicity, Technological advancement",N,0,N,0,347.16,0.4
1984,7,"History, Slavery, Oppression",N,0,N,0,345.79,0.43
1984,8,"Technology, human exploration",N,0,N,0,343.74,0.36
1984,9,"Ocean exploration, Sea animals, Human-animal interaction, Marine biology",N,0,Y,1,341.59,0.33
1984,10,"Allergy, Human activity",N,0,N,0,341.86,0.39
1984,11,"Chocolate, Artisan, Edible sculpture ",N,0,N,0,343.31,0.44
1984,12,"Environmental Cleaning, Monsoons",N,0,Y,1,345,0.52
1983,1,"Rain forest, animal",N,0,N,0,341.57,0.19
1983,2,"Human portrait, culture",N,0,N,0,342.79,0.3
1983,3,History,N,0,N,0,343.37,0.17
1983,4,Recycling,N,0,Y,1,345.39,0.42
1983,5,"Art, history",N,0,N,0,346.14,0.4
1983,6,"Space, universe",N,0,N,0,345.76,0.55
1983,7,"Technology, human exploration",N,0,N,0,344.32,0.55
1983,8,"Technology, human exploration",N,0,N,0,342.51,0.67
1983,9,"Technology, human exploration, space",N,0,N,0,340.46,0.61
1983,10,"Human portrait, culture",N,0,N,0,340.53,0.63
1983,11,Art,N,0,N,0,341.79,0.69
1983,12,Art,N,0,N,0,343.2,0.71
1982,1,"History, social issue",N,0,N,0,340.93,0.48
1982,2,"Landscape, human, animal",N,0,N,0,341.76,0.36
1982,3,"Human portrait, culture",N,0,N,0,342.78,0.34
1982,4,"Human portrait, culture, history",N,0,N,0,343.96,0.4
1982,5,"Cultural relics, architecture, statue, history",N,0,N,0,344.77,0.5
1982,6,animal,N,0,N,0,343.88,0.39
1982,7,Human exploration,N,0,N,0,342.42,0.47
1982,8,"Human portrait, culture",N,0,N,0,340.24,0.52
1982,9,"Human exploration, fishing",N,0,N,0,338.38,0.42
1982,10,Technology,N,0,N,0,338.41,0.4
1982,11,"Art, culture",N,0,N,0,339.44,0.26
1982,12,Animal,N,0,N,0,340.78,0.26
1981,1,strange looking cloud; nature,N,0,N,0,339.29,0.41
1981,2,cane; animal,N,0,N,0,340.55,0.65
1981,3,rocket; technology,N,0,N,0,341.63,0.46
1981,4,arable land; nature and landscape,N,0,N,0,342.6,0.49
1981,5,shark and a person diving; sea,N,0,N,0,343.04,0.47
1981,6,children and a lamb,N,0,N,0,342.54,0.35
1981,7,saturn; universe,N,0,N,0,340.82,0.4
1981,8,mural; culture,N,0,N,0,338.48,0.24
1981,9,children; culture,N,0,N,0,336.95,0.21
1981,10,rocket; technology,N,0,N,0,337.05,0.27
1981,11,dear,N,0,Y,1,338.57,0.38
1981,12,pandas,N,0,Y,1,339.91,0.48
1980,1,galaxy; universe,N,0,N,0,337.9,0.52
1980,2,"cuture, human headshot",N,0,N,0,338.34,0.49
1980,3,"cuture, human headshot",N,0,N,0,340.07,0.53
1980,4,sea urchin; animal,N,0,N,0,340.93,0.62
1980,5,cheetah; animal,N,0,N,0,341.45,0.65
1980,6,baby and orangutans; animal,N,0,N,0,341.36,0.62
1980,7,metal antique horse; culture,N,0,N,0,339.45,0.57
1980,8,"relics building; culture, archaeology",N,0,N,0,337.67,0.58
1980,9,Lots of camel riders in desert; humanity and nature and animal,N,0,N,0,336.25,0.68
1980,10,bamboo and kendo; culture and humanity,N,0,N,0,336.14,0.57
1980,11,winsor castle; culture and humanity,N,0,N,0,337.3,0.59
1980,12,"culture, bizarre statue",N,0,N,0,338.29,0.44
